Date,Time,Temp °C,SpCond µS/cm
4/29/19,4:00:00,3.475,48.4
4/29/19,5:00:00,3.277,47.9
4/29/19,6:00:00,3.101,47.5
4/29/19,7:00:00,2.963,47.4
4/29/19,8:00:00,2.891,47.5
4/29/19,9:00:00,2.983,47.4
4/29/19,10:00:00,3.126,47.6
4/29/19,11:00:00,3.474,47.5
4/29/19,12:00:00,3.979,47.7
4/29/19,13:00:00,4.507,47.8
4/29/19,14:00:00,4.974,47.9
4/29/19,15:00:00,5.292,48.1
4/29/19,16:00:00,5.425,48.2
4/29/19,17:00:00,5.514,48.4
4/29/19,18:00:00,5.573,48.5
4/29/19,19:00:00,5.568,48.7
4/29/19,20:00:00,5.556,48.8
4/29/19,21:00:00,5.482,48.9
4/29/19,22:00:00,5.3,49
4/29/19,23:00:00,5.023,48.9
4/30/19,0:00:00,4.725,48.6
4/30/19,1:00:00,4.452,47.7
4/30/19,2:00:00,4.204,46.6
4/30/19,3:00:00,3.978,45.7
4/30/19,4:00:00,3.77,45
4/30/19,5:00:00,3.565,44.5
4/30/19,6:00:00,3.382,44.3
4/30/19,7:00:00,3.23,44.2
4/30/19,8:00:00,3.152,44.3
4/30/19,9:00:00,3.233,44.4
4/30/19,10:00:00,3.381,44.5
4/30/19,11:00:00,3.73,44.7
4/30/19,12:00:00,4.253,44.8
4/30/19,13:00:00,4.765,45
4/30/19,14:00:00,5.233,45.1
4/30/19,15:00:00,5.547,45.3
4/30/19,16:00:00,5.71,45.5
4/30/19,17:00:00,5.831,45.6
4/30/19,18:00:00,5.959,45.9
4/30/19,19:00:00,6.043,46.1
4/30/19,20:00:00,6.09,46.2
4/30/19,21:00:00,6.014,46.3
4/30/19,22:00:00,5.828,46.3
4/30/19,23:00:00,5.622,46.1
5/1/19,0:00:00,5.414,45.5
5/1/19,1:00:00,5.2,44.4
5/1/19,2:00:00,4.99,43.4
5/1/19,3:00:00,4.801,42.5
5/1/19,4:00:00,4.613,42
5/1/19,5:00:00,4.422,41.7
5/1/19,6:00:00,4.25,41.6
5/1/19,7:00:00,4.117,41.6
5/1/19,8:00:00,4.057,41.7
5/1/19,9:00:00,4.13,41.8
5/1/19,10:00:00,4.278,42
5/1/19,11:00:00,4.6,42.1
5/1/19,12:00:00,5.068,42.3
5/1/19,13:00:00,5.533,42.4
5/1/19,14:00:00,5.926,42.6
5/1/19,15:00:00,6.206,42.8
5/1/19,16:00:00,6.358,43
5/1/19,17:00:00,6.482,43.2
5/1/19,18:00:00,6.544,43.4
5/1/19,19:00:00,6.564,43.6
5/1/19,20:00:00,6.574,43.7
5/1/19,21:00:00,6.47,43.6
5/1/19,22:00:00,6.241,43.2
5/1/19,23:00:00,5.988,41.9
5/2/19,0:00:00,5.759,40.1
5/2/19,1:00:00,5.539,38.3
5/2/19,2:00:00,5.308,37
5/2/19,3:00:00,5.097,36.2
5/2/19,4:00:00,4.952,35.8
5/2/19,5:00:00,4.836,35.8
5/2/19,6:00:00,4.74,35.9
5/2/19,7:00:00,4.687,36.1
5/2/19,8:00:00,4.669,36.4
5/2/19,9:00:00,4.76,36.7
5/2/19,10:00:00,5.066,37
5/2/19,11:00:00,5.261,37.3
5/2/19,12:00:00,5.505,37.6
5/2/19,13:00:00,5.772,37.9
5/2/19,14:00:00,6.199,38.2
5/2/19,15:00:00,6.593,38.4
5/2/19,16:00:00,6.667,38.7
5/2/19,17:00:00,6.729,39
5/2/19,18:00:00,6.696,39.2
5/2/19,19:00:00,6.56,39.4
5/2/19,20:00:00,6.331,39.4
5/2/19,21:00:00,6.098,39.3
5/2/19,22:00:00,5.883,38.9
5/2/19,23:00:00,5.687,38.3
5/3/19,0:00:00,5.505,37.6
5/3/19,1:00:00,5.331,36.7
5/3/19,2:00:00,5.182,35.9
5/3/19,3:00:00,5.044,35.2
5/3/19,4:00:00,4.928,34.7
5/3/19,5:00:00,4.824,34.3
5/3/19,6:00:00,4.733,34
5/3/19,7:00:00,4.676,33.9
5/3/19,8:00:00,4.638,33.7
5/3/19,9:00:00,4.624,33.8
5/3/19,10:00:00,4.665,33.8
5/3/19,11:00:00,4.8,33.7
5/3/19,12:00:00,5.093,33.7
